2026-08-21T18:39:41: PM2 log: ===============================================================================
2026-08-21T18:39:41: PM2 log: --- New PM2 Daemon started ----------------------------------------------------
2026-08-21T18:39:41: PM2 log: Time                 : Fri Aug 21 2026 18:39:41 GMT-0300 (Brasilia Standard Time)
2026-08-21T18:39:41: PM2 log: PM2 version          : 7.0.3
2026-08-21T18:39:41: PM2 log: Node.js version      : 26.3.1
2026-08-21T18:39:41: PM2 log: Current arch         : arm64
2026-08-21T18:39:41: PM2 log: PM2 home             : /data/data/com.termux/files/home/.pm2
2026-08-21T18:39:41: PM2 log: PM2 PID file         : /data/data/com.termux/files/home/.pm2/pm2.pid
2026-08-21T18:39:41: PM2 log: RPC socket file      : /data/data/com.termux/files/home/.pm2/rpc.sock
2026-08-21T18:39:41: PM2 log: BUS socket file      : /data/data/com.termux/files/home/.pm2/pub.sock
2026-08-21T18:39:41: PM2 log: Application log path : /data/data/com.termux/files/home/.pm2/logs
2026-08-21T18:39:41: PM2 log: Worker Interval      : 30000
2026-08-21T18:39:41: PM2 log: Process dump file    : /data/data/com.termux/files/home/.pm2/dump.pm2
2026-08-21T18:39:41: PM2 log: Concurrent actions   : 2
2026-08-21T18:39:41: PM2 log: SIGTERM timeout      : 1600
2026-08-21T18:39:41: PM2 log: Runtime Binary       : /data/data/com.termux/files/usr/bin/node
2026-08-21T18:39:41: PM2 log: ===============================================================================
2026-08-21T18:39:41: PM2 log: App [meu-bot:0] starting in -fork mode-
2026-08-21T18:39:41: PM2 log: App [meu-bot:0] online
2026-08-21T19:28:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:28:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:29:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:29:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:30:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:30:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:31:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:31:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:32:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:32:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:33:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:33:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:34:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:34:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:35:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:35:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:36:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:36:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
